id,main_category,category,sub_category,item_name,standard,unit,crew_composition_text,productivity_type,skill_worker_1_pum,skill_worker_1_count,skill_worker_2_pum,skill_worker_2_count,special_worker_pum,special_worker_count,common_worker_pum,common_worker_count,equipment_pum,equipment_count,pumsam_workload,molit_workload
11,공통가설,가설울타리,H형강지주,2-4-2 H형강 지주 설치 및 해체,해체: H형강지주 4m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
13,공통가설,가설울타리,H형강지주,2-4-2 H형강 지주 설치 및 해체,해체: H형강지주 7m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
24,공통가설,가설울타리,가설방음판,2-4-4 세로형 가설방음판 설치 및 해체,설치: 울타리판 높이 10.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.28,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,90.0,0.0
20,공통가설,가설울타리,가설방음판,2-4-4 세로형 가설방음판 설치 및 해체,설치: 울타리판 높이 3.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.24,1.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,120.0,0.0
22,공통가설,가설울타리,가설방음판,2-4-4 세로형 가설방음판 설치 및 해체,설치: 울타리판 높이 6.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.28,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,100.0,0.0
25,공통가설,가설울타리,가설방음판,2-4-4 세로형 가설방음판 설치 및 해체,해체: 울타리판 높이 10.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.11,1.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,230.0,0.0
21,공통가설,가설울타리,가설방음판,2-4-4 세로형 가설방음판 설치 및 해체,해체: 울타리판 높이 3.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.1,1.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,300.0,0.0
23,공통가설,가설울타리,가설방음판,2-4-4 세로형 가설방음판 설치 및 해체,해체: 울타리판 높이 6.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.11,1.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,260.0,0.0
30,공통가설,가설울타리,가설방음판,2-4-5 가로형 가설방음판 설치 및 해체,설치: 울타리판 높이 10.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.28,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,35.0,0.0
26,공통가설,가설울타리,가설방음판,2-4-5 가로형 가설방음판 설치 및 해체,설치: 울타리판 높이 3.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.24,1.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,50.0,0.0
28,공통가설,가설울타리,가설방음판,2-4-5 가로형 가설방음판 설치 및 해체,설치: 울타리판 높이 6.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.28,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,40.0,0.0
31,공통가설,가설울타리,가설방음판,2-4-5 가로형 가설방음판 설치 및 해체,해체: 울타리판 높이 10.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.11,1.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,90.0,0.0
27,공통가설,가설울타리,가설방음판,2-4-5 가로형 가설방음판 설치 및 해체,해체: 울타리판 높이 3.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.1,1.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,120.0,0.0
29,공통가설,가설울타리,가설방음판,2-4-5 가로형 가설방음판 설치 및 해체,해체: 울타리판 높이 6.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.11,1.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,105.0,0.0
16,공통가설,가설울타리,가설울타리판(EGI),2-4-3 가설울타리판 설치 및 해체,설치: 울타리판 높이 3.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.26,3.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,110.0,115.0
18,공통가설,가설울타리,가설울타리판(EGI),2-4-3 가설울타리판 설치 및 해체,설치: 울타리판 높이 6.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.3,1.0,0.0,0.0,0.0,0.0,0.11,1.0,0.0,0.0,95.0,0.0
17,공통가설,가설울타리,가설울타리판(EGI),2-4-3 가설울타리판 설치 및 해체,해체: 울타리판 높이 3.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.1,1.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,280.0,0.0
